image_path,class,internal_class,selection,reviewed
dataset\Apple___Cedar_apple_rust\image (23).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Apple_scab\image (520).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Black_rot\image (255).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (199).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (559).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___healthy\image (82).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Cedar_apple_rust\image (213).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___healthy\image (239).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Black_rot\image (246).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (495).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (293).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Apple_scab\image (60).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___healthy\image (1059).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (310).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Apple_scab\image (443).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Apple_scab\image (472).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Cedar_apple_rust\image (94).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Apple_scab\image (222).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Black_rot\image (534).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (111).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___healthy\image (652).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (153).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___healthy\image (218).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (618).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___healthy\image (888).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Black_rot\image (429).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (43).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (629).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Black_rot\image (150).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (76).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___healthy\image (309).JPG,Apple___healthy,healthy,low,1
dataset\Apple___healthy\image (1357).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Black_rot\image (27).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Cedar_apple_rust\image (19).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (341).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Black_rot\image (589).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (619).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___healthy\image (583).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (363).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Black_rot\image (207).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (148).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Apple_scab\image (421).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Black_rot\image (114).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (208).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___healthy\image (1).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (159).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (72).JPG,Apple___Cedar_apple_rust,cedar_rust,low,1
dataset\Apple___healthy\image (1041).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (424).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Cedar_apple_rust\image (145).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (463).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Cedar_apple_rust\image (99).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Cedar_apple_rust\image (250).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Cedar_apple_rust\image (119).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Apple_scab\image (334).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Apple_scab\image (514).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (258).JPG,Apple___Cedar_apple_rust,cedar_rust,low,1
dataset\Apple___Cedar_apple_rust\image (89).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Apple_scab\image (231).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Apple_scab\image (296).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___healthy\image (1400).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Black_rot\image (320).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Cedar_apple_rust\image (179).JPG,Apple___Cedar_apple_rust,cedar_rust,low,1
dataset\Apple___Cedar_apple_rust\image (159).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Apple_scab\image (78).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___healthy\image (1414).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (625).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Black_rot\image (87).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___healthy\image (919).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (441).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Apple_scab\image (328).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Apple_scab\image (321).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Black_rot\image (580).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (90).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Apple_scab\image (377).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___healthy\image (714).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (155).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Black_rot\image (63).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (91).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Black_rot\image (453).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (371).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Apple_scab\image (267).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___healthy\image (982).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Black_rot\image (281).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (58).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___healthy\image (1446).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Cedar_apple_rust\image (239).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Cedar_apple_rust\image (242).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Cedar_apple_rust\image (62).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___healthy\image (786).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Cedar_apple_rust\image (154).JPG,Apple___Cedar_apple_rust,cedar_rust,low,1
dataset\Apple___healthy\image (785).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Black_rot\image (100).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (96).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (297).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Apple_scab\image (260).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Black_rot\image (572).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Black_rot\image (152).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (391).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (163).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___healthy\image (826).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Cedar_apple_rust\image (9).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Cedar_apple_rust\image (100).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (521).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (496).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Black_rot\image (310).JPG,Apple___Black_rot,black_rot,high,1
dataset\Apple___Apple_scab\image (49).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___healthy\image (1605).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Black_rot\image (247).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___healthy\image (90).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Black_rot\image (541).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (505).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___healthy\image (981).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Cedar_apple_rust\image (20).JPG,Apple___Cedar_apple_rust,cedar_rust,low,1
dataset\Apple___Black_rot\image (525).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (167).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Cedar_apple_rust\image (146).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Cedar_apple_rust\image (39).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (15).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (32).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Black_rot\image (375).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (77).JPG,Apple___Apple_scab,apple_scab,exclude,1
dataset\Apple___Black_rot\image (158).JPG,Apple___Black_rot,black_rot,exclude,1
dataset\Apple___Black_rot\image (83).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___healthy\image (255).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Cedar_apple_rust\image (105).JPG,Apple___Cedar_apple_rust,cedar_rust,low,1
dataset\Apple___healthy\image (1640).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (288).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Black_rot\image (22).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (30).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Black_rot\image (186).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Cedar_apple_rust\image (178).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (481).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (275).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (10).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Apple_scab\image (61).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Black_rot\image (58).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (103).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Apple_scab\image (28).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Apple_scab\image (58).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (83).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (433).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (169).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (51).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (209).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Cedar_apple_rust\image (269).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Cedar_apple_rust\image (272).JPG,Apple___Cedar_apple_rust,cedar_rust,low,1
dataset\Apple___healthy\image (276).JPG,Apple___healthy,healthy,exclude,1
dataset\Apple___Cedar_apple_rust\image (2).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (520).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (206).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Apple_scab\image (508).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (141).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (585).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (45).JPG,Apple___Cedar_apple_rust,cedar_rust,low,1
dataset\Apple___Black_rot\image (311).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___healthy\image (215).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (420).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Black_rot\image (102).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (387).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Apple_scab\image (179).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (26).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Apple_scab\image (114).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (134).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Black_rot\image (537).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (394).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (55).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (14).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___healthy\image (673).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Black_rot\image (496).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (146).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Cedar_apple_rust\image (81).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Cedar_apple_rust\image (63).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Cedar_apple_rust\image (263).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Apple_scab\image (466).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Cedar_apple_rust\image (96).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Apple_scab\image (542).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Black_rot\image (296).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (8).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___healthy\image (128).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Black_rot\image (568).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (240).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___healthy\image (1480).JPG,Apple___healthy,healthy,low,1
dataset\Apple___healthy\image (666).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (5).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Black_rot\image (57).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Black_rot\image (177).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (502).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___healthy\image (360).JPG,Apple___healthy,healthy,low,1
dataset\Apple___healthy\image (194).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (468).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Cedar_apple_rust\image (164).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Cedar_apple_rust\image (200).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Apple_scab\image (331).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Cedar_apple_rust\image (21).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (567).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Apple_scab\image (376).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Cedar_apple_rust\image (147).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Cedar_apple_rust\image (188).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___healthy\image (253).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (609).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___healthy\image (1231).JPG,Apple___healthy,healthy,low,1
dataset\Apple___healthy\image (1329).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Cedar_apple_rust\image (234).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Black_rot\image (598).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Cedar_apple_rust\image (193).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Cedar_apple_rust\image (31).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Black_rot\image (408).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (98).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Apple_scab\image (106).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Black_rot\image (155).JPG,Apple___Black_rot,black_rot,exclude,1
dataset\Apple___Black_rot\image (28).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (53).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Apple_scab\image (382).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (149).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Cedar_apple_rust\image (67).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Cedar_apple_rust\image (223).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Apple_scab\image (531).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (142).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (366).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (270).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (178).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Black_rot\image (613).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (180).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (217).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Apple_scab\image (82).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Apple_scab\image (272).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (216).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Cedar_apple_rust\image (243).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___healthy\image (280).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Cedar_apple_rust\image (110).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Cedar_apple_rust\image (170).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Cedar_apple_rust\image (92).JPG,Apple___Cedar_apple_rust,cedar_rust,low,1
dataset\Apple___Cedar_apple_rust\image (215).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Black_rot\image (46).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (241).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Apple_scab\image (316).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Cedar_apple_rust\image (261).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Apple_scab\image (223).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Black_rot\image (13).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (586).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (186).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (16).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (130).JPG,Apple___Cedar_apple_rust,cedar_rust,low,1
dataset\Apple___Apple_scab\image (535).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Black_rot\image (257).JPG,Apple___Black_rot,black_rot,exclude,1
dataset\Apple___Cedar_apple_rust\image (153).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___healthy\image (678).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (478).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Cedar_apple_rust\image (103).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Cedar_apple_rust\image (262).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___healthy\image (931).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Cedar_apple_rust\image (161).JPG,Apple___Cedar_apple_rust,cedar_rust,low,1
dataset\Apple___Black_rot\image (101).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (453).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___healthy\image (257).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Cedar_apple_rust\image (189).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Cedar_apple_rust\image (126).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Apple_scab\image (532).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Black_rot\image (292).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (253).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Apple_scab\image (413).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Black_rot\image (304).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (452).JPG,Apple___Black_rot,black_rot,high,1
dataset\Apple___Apple_scab\image (120).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Cedar_apple_rust\image (13).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Apple_scab\image (364).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Apple_scab\image (182).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Black_rot\image (446).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (47).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Cedar_apple_rust\image (249).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Black_rot\image (510).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___healthy\image (1312).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Cedar_apple_rust\image (28).JPG,Apple___Cedar_apple_rust,cedar_rust,low,1
dataset\Apple___Cedar_apple_rust\image (221).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (469).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (368).JPG,Apple___Black_rot,black_rot,exclude,1
dataset\Apple___Cedar_apple_rust\image (257).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Cedar_apple_rust\image (218).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Black_rot\image (280).JPG,Apple___Black_rot,black_rot,exclude,1
dataset\Apple___Apple_scab\image (177).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (68).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (332).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (448).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Black_rot\image (533).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Apple_scab\image (462).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___healthy\image (1286).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (490).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (212).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Apple_scab\image (605).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Black_rot\image (334).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (414).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (614).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (65).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Black_rot\image (514).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (135).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___healthy\image (605).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Cedar_apple_rust\image (194).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Black_rot\image (17).JPG,Apple___Black_rot,black_rot,high,1
dataset\Apple___Apple_scab\image (534).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (41).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Cedar_apple_rust\image (102).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Apple_scab\image (269).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Apple_scab\image (273).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (64).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (148).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (172).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
